tap,spoon,plate,cupboard,knife,pan,lid,bowl,drawer,sponge,glass,hand,fridge,cup,fork,bottle,onion,cloth,board:chopping,bag,spatula,container,liquid:washing,box,hob,dough,package,water,meat,pot,potato,oil,cheese,bread,food,tray,bin,pepper,salt,colander,jar,carrot,top,tomato,kettle,pasta,oven,sauce,skin,paper,maker:coffee,garlic,towel,egg,rubbish,rice,chicken,cutlery,glove,sink,jug,asparagus,quorn,gherkin,popcorn,balloon,computer,key,pillow,whiskey,door:kitchen,tape,tails
8,4,5,3,12,4,2,3,3,2,1,4,2,0,4,1,1,1,0,6,1,0,1,2,0,4,2,1,0,0,0,4,1,0,4,6,1,1,0,0,0,0,2,1,0,0,8,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,12
2,2,3,3,1,10,2,4,2,0,1,2,3,1,3,1,1,0,0,2,0,7,0,2,1,0,0,1,1,0,0,5,2,1,3,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3,2,1,9,8,3,3,0,3,1,1,1,2,5,2,0,1,2,0,0,0,1,8,1,1,0,2,0,1,2,1,4,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3,3,1,4,7,4,3,2,2,1,0,3,4,3,1,0,1,1,0,1,0,4,1,7,1,1,2,0,1,1,0,3,2,5,7,1,0,0,2,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4,5,4,2,13,5,3,3,4,0,0,1,2,1,2,1,0,2,2,2,0,1,0,1,6,0,0,0,0,1,1,3,1,0,1,1,1,2,0,0,0,1,0,1,1,0,0,1,0,0,2,2,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,2,4,0,8,1,1,7,0,0,0,5,0,1,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,3,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
5,2,8,4,3,1,4,1,2,4,0,2,2,5,6,1,1,2,0,1,0,0,1,1,1,0,1,0,0,0,0,4,3,1,5,0,0,0,0,0,0,0,0,2,1,1,1,3,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
10,2,6,6,7,5,5,3,2,2,3,3,6,2,1,1,0,0,1,4,1,0,1,0,0,0,4,7,0,2,0,6,0,1,5,0,0,1,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30
2,3,2,6,2,6,2,0,2,0,0,3,2,1,0,0,2,1,0,5,0,1,1,4,0,0,8,1,0,1,3,1,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5,4,5,4,7,8,3,2,1,2,2,4,8,2,1,1,1,2,2,4,3,1,2,0,1,0,5,1,1,4,1,1,1,1,4,1,1,3,4,0,1,0,1,4,2,1,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
